,RM_1h_1,RM_1h_2,RM_1h_3,LP_1h_2,LP_1h_3,RM_2h_1,RM_2h_2,RM_2h_3,LP_2h_1,LP_2h_2,LP_2h_3,RM_24h_1,RM_24h_2,RM_24h_3,LP_24h_1,LP_24h_2,LP_24h_3,RM_49h_1,RM_49h_2,RM_49h_3,LP_49h_1,LP_49h_2,LP_49h_3
CMA001C,127,151,136,593,690,117,91,126,275,251,246,42,26,32,584,511,624,41,18,26,76,55,84
CMA004C,2199,2628,2282,2082,2092,2139,2025,2294,2707,2311,2624,3003,2763,2636,2880,3262,2378,2912,2623,2832,3024,3755,3878
CMA005C,2101,2479,2273,2302,2153,2570,2352,2818,2490,2227,2333,3633,3325,3149,2829,3609,2427,3645,3265,3010,2644,3442,3888
CMA007C,4094,4572,3972,6100,5833,4311,4278,4665,5388,4699,4705,6216,5702,5465,6690,8190,5732,7594,6436,6514,6717,8962,9037
CMA008C,6,9,11,17,15,5,3,7,13,8,2,27,31,16,12,14,22,21,12,17,6,2,6
CMA009C,2862,2867,2744,8183,8759,3831,3722,4203,5765,4946,4729,3303,2825,2395,4093,5376,3629,3241,2978,2862,2542,4118,4033
CMA010C,1403,1486,1397,2629,2614,1659,1692,1931,2244,1983,1859,3640,3468,3073,1951,2644,2000,3971,3111,3148,2258,3033,3317
CMA011C,1167,1354,1252,1940,1948,1424,1444,1617,2226,1956,1876,1936,1574,1440,1723,1768,1634,1899,1063,1633,1712,2280,2465
CMA013C,5070,5216,4518,4664,4676,4072,3887,4649,4143,3481,3325,4385,3849,3440,2636,3485,2654,4453,4375,3930,2293,3193,3747
CMA015C,3944,4152,3928,3611,3589,4377,4028,4729,4166,3414,3275,2733,2220,1902,2015,2522,1996,2550,2063,2387,1812,2434,2563
CMA016C,2126,2575,2093,1861,2027,2407,2243,2449,2388,1934,2233,2361,2128,1929,1861,2360,1816,2466,2311,2259,1831,2294,2517
CMA017C,3224,3041,2970,3218,3487,3757,3615,4088,4590,4022,3661,3813,3580,3368,6380,8061,5703,4034,3824,3533,8112,10519,11303
CMA019C,2143,1851,1831,2375,2076,1845,1767,2017,2144,1798,1345,3959,3327,2745,2359,2886,2144,3960,3511,3081,1837,2739,3139
CMA021C,13461,13769,12367,26766,31623,8325,8615,9398,14479,12116,11259,32781,37167,42040,24727,32018,16173,57115,46395,43226,40565,52730,57983
CMA022C,4642,4564,4113,3242,2940,3302,3184,3442,2665,2449,2099,3806,3362,2835,2262,3037,2190,3677,3494,3059,1878,2757,3031
CMA023C,6315,6456,6414,1894,2126,3675,3820,4441,2267,2113,1712,11685,11306,11036,6401,8713,4710,18376,16162,12910,8617,12479,14109
CMA024C,0,0,0,0,1,0,0,0,4,5,1,2,6,10,4,8,3,7,16,6,10,14,11
CMA025C,5895,5488,5322,3457,3109,5369,4936,5775,4733,4176,3304,4383,3779,3363,5773,7061,4745,4313,4363,3713,3639,5022,5585
CMA027C,3737,3735,3669,3450,3768,3288,3078,3562,3097,2611,2346,2379,1949,1758,1645,2097,1704,2427,2342,2126,1112,1526,1583
CMA028C,624,590,658,394,380,469,548,575,426,429,295,1102,1012,889,722,842,564,1245,1445,927,726,1134,1302
CMA029C,5107,4069,3988,3135,2754,3400,3217,3533,3055,2591,1809,1839,1359,1064,1099,1471,1137,2276,1644,1702,998,1671,1649
CMA030C,14375,15117,13862,7619,6653,11885,11512,12503,9866,8514,8138,4147,2965,2667,4437,5041,3946,4223,4042,3832,2619,3953,4146
CMA031C,7669,6642,6778,4360,4048,7085,6563,7759,5885,5069,3999,3527,2635,2175,4695,5999,3709,3798,3956,3329,3077,5095,5040
CMA033C,1780,1723,1608,1237,1277,1711,1498,1642,2015,1668,1578,1595,1399,1280,3412,4208,2977,1820,1435,1636,2547,3487,3418
CMA034C,3848,3739,3488,13453,15318,4110,3795,4378,5622,4688,4218,4488,3733,3711,11398,13154,8978,3947,3680,4037,4379,6471,7034
CMA035C,1402,1395,1394,1161,1055,1618,1631,1863,1944,1664,1485,2533,2323,2080,3350,4130,2802,2839,2495,2379,2514,3871,3936
CMA036C,1188,1276,1254,803,817,1255,1196,1374,1392,1176,1174,837,700,812,4456,5544,4151,1177,1418,1388,1979,2943,3007
CMA037C,290,290,312,799,797,261,293,282,573,512,321,340,301,211,244,379,190,366,391,290,271,469,472
CMA039C,836,979,955,356,313,1512,1697,1841,1181,1063,1006,2853,2498,2375,2098,2738,1627,3018,2823,2789,1956,2773,2875
CMA040C,554,684,674,307,209,1007,1004,1277,747,761,722,2956,2736,2431,1349,1811,1124,2545,2376,2119,1975,2693,2823
CMA041C,17862,19367,17141,7274,7246,26383,25587,28941,22053,20364,20339,16230,14272,14446,23679,30957,16527,18504,18238,16839,21675,29703,30130
CMA042C,1529,1395,1555,1660,1652,1662,1727,2064,1041,1033,738,8291,6535,6381,3899,4649,2866,7530,3978,4795,4621,6901,7718
CMA044C,1061,1103,1037,755,734,1422,1308,1537,1363,1265,1127,2439,2211,1989,1710,2181,1481,2040,1609,1672,1494,2097,2301
CMA045C,1000,1074,1096,888,796,1360,1349,1523,1388,1221,1025,3255,2931,2722,1708,2066,1306,3282,3076,2646,1515,2254,2592
CMA046C,1624,1639,1581,291,281,2976,2758,3102,1887,1836,1520,4460,3777,3133,1945,2762,1465,4692,4601,3866,1538,2456,2535
CMA048C,7932,7089,6886,4679,4061,7958,7606,8752,6818,5964,5057,3026,2319,1910,3553,4377,2916,2852,2682,2694,2029,3000,3086
CMA050C,1666,1602,1706,660,513,1597,1481,1542,1067,1061,783,1034,912,681,2269,2875,2095,1329,1464,1323,1057,1783,1548
CMA052C,23139,22516,22270,54452,59561,19234,19007,21479,26608,23111,19441,16721,16019,13679,10538,14377,9231,20162,18922,15968,9289,14669,14921
CMA053C,3689,3647,3444,10207,10865,3488,3156,3575,5652,4633,3995,5193,4697,3901,3613,4364,3862,5588,3568,4023,4261,5871,5927
CMA054C,885,820,874,907,836,958,959,1017,1238,1026,728,1752,1465,1152,1219,1515,1051,1595,1378,1154,999,1695,1639
CMA056C,1542,1709,1620,3617,3777,3552,3727,4009,4539,4040,3616,11450,11729,11616,5877,7466,4136,13273,10579,10478,8037,11009,11858
CMA059C,1851,2070,1796,1791,1659,2007,1938,2107,2416,1958,2094,3328,3086,2783,2009,2391,2141,3619,2320,2972,2472,3263,3327
CMA060C,309,380,339,323,314,359,359,377,371,316,367,687,676,537,305,428,296,667,773,584,473,548,636
CMA061C,32445,39514,33470,12164,12958,35527,33776,38240,37460,31951,37551,15667,12391,12088,13598,16397,13216,19041,17258,18224,18459,21599,22443
CMA062C,1534,1807,1581,951,859,2234,2095,2440,2503,2124,2384,3998,3733,3609,1926,2439,1959,3979,3471,3672,2691,2948,3203
CMA063C,1332,1542,1352,1456,1409,1359,1363,1505,1888,1649,1705,2062,1989,1923,1364,1763,1333,2241,2183,1973,2413,2887,3002
CMA064C,6095,7088,6076,4986,4906,6662,6315,7029,7499,6259,7032,4685,3958,3691,3363,4008,3284,3989,3626,3819,2761,3582,3787
CMA065C,2689,3071,2869,2625,2930,4134,3931,4611,4196,3666,3844,8152,7865,8058,4402,5915,3634,8939,9055,8138,5702,7270,7572
CMA066C,733,880,866,681,680,797,826,960,1218,1056,1072,2252,2018,2092,3628,4640,3468,2359,1788,2312,2129,2783,3238
CMA067C,849,834,807,821,730,1297,1274,1415,1427,1276,1105,1871,1720,1563,1355,1788,1088,1568,1409,1490,817,1330,1369
CMA068C,627,836,805,442,450,787,873,1021,722,654,626,3615,3242,3195,895,1097,885,2938,2574,2862,1361,1694,1973
CMA069C,2996,3817,3345,2280,2170,5743,5921,6696,6539,5985,6516,11430,11052,10802,8311,10597,6719,13351,10599,11668,9488,12096,13572
CMA070C,1939,2247,1999,1815,1481,7195,6585,8026,4400,4411,4143,10725,9596,9052,4752,6408,3681,8484,8665,8030,2658,3928,4030
CMA072C,2965,3686,3301,2687,2740,3697,3614,4234,3631,3131,3350,5474,4861,4728,5536,6937,5318,5279,4341,4844,6662,8141,8477
CMA074C,2041,2457,2131,2061,2068,2832,2649,3145,3197,2890,3187,4039,3566,3312,2912,3536,2734,3880,3686,3538,3772,4667,4832
CMA075C,8146,7459,6755,6356,6058,8042,6962,7845,11801,10093,10095,5466,4697,4205,21267,24869,17338,6810,6690,5734,23707,31425,33876
CMA077C,1762,2213,2004,1403,1367,2053,2062,2400,2237,1974,2107,2929,2799,2528,1994,2465,1909,2882,2618,2601,3091,3614,3538
CMA078C,887,1098,937,1055,1015,1330,1182,1408,1699,1490,1563,1564,1391,1336,1288,1610,1293,1572,1116,1445,1255,1505,1548
CMA079C,30,35,27,15,8,45,44,39,21,21,10,34,35,19,47,40,59,36,47,34,15,32,47
CMA080C,604,549,485,2820,2990,533,502,550,1301,1158,983,1029,817,766,569,689,479,829,754,750,388,495,479
CMA081C,3503,3944,3706,5758,5923,3813,3801,4321,4930,4376,4120,8839,8083,7251,5647,7024,5312,9713,7674,7776,7178,9145,9403
CMA082C,15920,16348,16512,7561,6335,30456,28667,32215,17495,15944,14366,21119,17023,15109,7693,9522,6476,16448,14521,15491,4576,7352,7523
CMA083C,3694,3643,3438,2884,2740,5397,5309,5962,5912,5264,4874,3207,2734,2331,2356,2917,2300,3017,2504,2748,2525,3366,3703
CMA085C,7593,7865,6854,2081,2050,5098,4763,5267,3167,3108,3099,923,668,779,6258,7264,5982,2229,2318,2693,1427,1929,2143
CMA086C,5744,5516,5285,3267,2945,6914,6607,7313,5501,5042,4195,6512,5680,4917,3837,4991,3517,5744,5202,5020,2791,4240,4242
CMA087C,794,971,967,938,1006,1043,1075,1302,1017,979,816,2479,2194,2123,5660,7350,5101,2537,2247,2479,3767,5590,6025
CMA089C,2846,3120,3002,1297,1141,3210,3169,3585,2157,2092,1880,1925,1614,1711,4914,5935,4988,3144,2709,3156,2470,3571,3414
CMA090C,2582,3067,2579,2057,1917,3125,3106,3639,3668,3375,3656,2381,1913,1877,3585,4527,3328,2208,2268,2273,2746,3793,3693
CMA091C,5379,5836,5256,2022,1770,4964,4711,5603,2757,2556,2571,3686,3159,2581,2931,3652,2679,4066,3705,3565,1908,2706,2933
