,condition,timepoint,conditionAndtimepoint
RM_1h_1,RM,1h,RM1h
RM_1h_2,RM,1h,RM1h
RM_1h_3,RM,1h,RM1h
LP_1h_2,LP,1h,LP1h
LP_1h_3,LP,1h,LP1h
RM_2h_1,RM,2h,RM2h
RM_2h_2,RM,2h,RM2h
RM_2h_3,RM,2h,RM2h
LP_2h_1,LP,2h,LP2h
LP_2h_2,LP,2h,LP2h
LP_2h_3,LP,2h,LP2h
RM_24h_1,RM,24h,RM24h
RM_24h_2,RM,24h,RM24h
RM_24h_3,RM,24h,RM24h
LP_24h_1,LP,24h,LP24h
LP_24h_2,LP,24h,LP24h
LP_24h_3,LP,24h,LP24h
RM_49h_1,RM,49h,RM49h
RM_49h_2,RM,49h,RM49h
RM_49h_3,RM,49h,RM49h
LP_49h_1,LP,49h,LP49h
LP_49h_2,LP,49h,LP49h
LP_49h_3,LP,49h,LP49h
