"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23"
"CME135C",0.0647616611499926,0.185204065766961,-0.0833294895029556,0.101736853857364,-0.08402450991757,0.202826752411716,-0.0311420539899052,0.00780095824325136,-0.0284079585898598,0.0318818937207631,-0.0697090889661064,-0.00795133974782608,0.0793413302001303,-0.00747683715832239,-0.0431096048771665,0.0138262596917483,0.0477057745385617,0.00661398062750254,-0.108530003220712,-0.00200250331241854,-0.028896803344539,-0.018662842504242,0.153410807388823
"CMG168C",0.0700711773429769,0.182439425369729,-0.0779123849157232,0.0681462898961706,-0.054674102148675,0.137095025306456,0.024121232011711,0.00131837066931364,-0.0356735521647777,0.0359071995348862,0.0314513078439641,-0.0227356642010097,0.0767649705592908,-0.0165703425769842,-0.0431982648516574,-0.0480470895092566,0.0268987605253474,0.00952124787803693,-0.0762570304024695,-0.00533556374355124,-0.0833047626815301,-0.0276256694321874,-0.0431077139863945
"CMI096C",0.0862504190042979,0.139488276670839,-0.0764505759240278,0.00327867357688324,-0.00258173899624504,-0.0184842819051889,0.114770186157761,0.062384798444217,0.0149830187240561,0.0352056364065022,-0.0432763207760505,-0.0759986711962289,0.0275198276466907,0.00132280049219805,-0.0318568996973304,0.0367300033505951,0.015029820610053,0.0822796160628615,-0.034602591294296,0.0183382083966092,-0.0825958527356322,0.076332881994068,-0.0469065242234052
"CMR291C",0.0821988260017773,0.107847153924684,-0.0370360837081107,0.10510581850799,0.214615793604929,0.00379394320874546,0.151864529204403,-0.185343450534988,-0.00846403979123,-0.12519777017117,-0.112856078596689,-0.0109765927400138,0.175236291621073,0.0772670006301373,0.176800763110863,0.0341374040683914,-0.242113696290849,-0.0213079258929889,0.0107846418426803,-0.147442697214623,0.00440004301795802,0.0263993308188045,0.094543298082067
"CMJ250C",0.0616623773758706,0.145540353141156,-0.0651118619517709,-0.0669375618988119,-0.00363962028499144,-0.0339804963163491,0.1518173246349,-0.0933613190142694,0.123895959661116,0.0264140255937972,0.0711312016496242,-0.0779569257360251,-0.170101446487455,0.0537508957776137,-0.0203642159505913,-0.158527975317815,-0.00409403700478668,0.0631441935328868,-0.0965202811286713,-0.0112306716900603,-0.0407532334383757,-0.0215901964148298,-0.000588496298314211
"CMH216C",0.102183660320686,-0.0721262790863398,0.0998068511645649,-0.0080079386287387,0.0376664269738665,0.0398280262084294,-0.0463619506218306,-0.000392021229337717,0.00757870608346067,-0.0361430850355735,0.00387350940658936,0.020590860303872,0.0376425729525371,-0.0118337100999504,0.00151549233488087,-0.00358618277111155,-0.0592739409276297,0.0543751643374485,0.0273382019197052,-0.0221071627220046,-0.0414162643176724,-0.0288595270598624,0.0384909090455501
"CMF012C",0.101085140135999,-0.0578623154042625,0.098052247530125,0.0187648761470989,0.0384547426429004,0.07940526500722,-0.0187731929346857,-0.104460362929217,0.15967965340842,-0.0596114432396239,0.0287350551211502,0.00298055661521933,0.00525039366843771,0.112494077138732,0.0177632127629466,-0.0156061518993811,0.0468581795706333,0.100552147290793,-0.0150817146210819,-0.0378734042471825,-0.0166027890871622,0.0537980658511489,-0.0775362632212232
"CMX001C",0.0712628556761204,0.118832699454527,-0.0649897917182791,0.00454012376720778,0.102698170615438,-0.0247315516100378,0.171136678562243,0.0404236924641311,0.0336885783152801,0.0186099160266592,-0.00997943234705602,-0.0733710193162079,-0.108851666176188,-0.00282907409975575,0.000297396148857948,0.104618503072864,-0.136573241100617,-0.000409317111974143,-0.124083766923824,0.00354283098232695,0.0695341370541292,-0.0091790433547931,-0.0183396278375822
"CMT514C",0.0790129919948769,0.115222600201366,-0.0600691322677877,-0.00954803763753632,0.0215169478401354,-0.0282072167963302,0.118673518883125,0.0864436605236209,0.0191975874868723,0.0984643925023308,0.129789308172821,0.00414472465092094,0.152828271474679,-0.0706988973836551,-0.0370502074677466,0.267373015572453,0.0187844840949293,0.0878908036674155,0.0631513236274395,-0.154503296780252,0.0227673325228206,-0.0134050624371982,-0.0507715308929371
"CMM108C",0.0990002467268657,-0.0662490523157232,0.0870120657438081,-0.0020816255083827,0.0247335384121193,0.00612380171790401,-0.0188971951218011,-0.0363486155316881,0.0063445884379072,-0.0603930662961411,0.00627984224002433,-0.000339903039425877,0.0642280303816986,0.0162634427090605,-0.0155568001217257,-0.0356519723799809,-0.0688128900439556,-0.016384260079085,0.0109610752295888,0.0542622390305825,-0.0489578423900182,-0.0206979484469794,-0.0938299807679623
"CMH080C",0.108280032488599,-0.0116554121979647,0.0709562976814462,0.0134662407368297,0.0532083650177454,-0.00864673470623348,-0.0148004167218792,7.21859119000029e-06,-0.0882201661154437,0.0203078053660572,0.0151844826144557,0.000295388633809126,-0.0666127508117377,0.0502794126035099,0.00231538389743875,0.066469099903956,-0.0274025017566008,0.0105976381348987,0.0304075035922588,-0.00190243677357533,-0.0751749135633012,-0.0596771500757589,-0.0652733160532192
"CMO001C",-0.0709061216187576,0.0653233616044979,0.166001277530796,-0.0472654836849873,0.0489441510021492,-0.115388873377678,0.0196416989663553,-0.131583052029193,0.0157564899213043,-0.100397557184007,0.17908902984106,-0.0372016971391222,0.0789825650898823,-0.0694402831573344,0.0328319505404042,-0.0668614869965949,-0.0976957353519406,-0.0051430039423421,0.000432368291163389,0.0340232109839235,-0.211429640645639,0.0449693027308225,0.0769044937372217
"CMQ418C",0.0951448125593932,-0.064584701887884,0.0772750055364242,0.00335184448411036,0.031841641171089,-0.00540849841090132,-0.00651882016098776,-0.0258099990854214,0.00928039864961867,-0.0401726971349337,0.00329673565017092,-0.00388252847368464,0.055759030767619,-0.0349196517019788,0.0196988982515453,-0.000888162993463734,-0.0479838244281644,0.0303047371054903,-0.00648429741134042,-0.0882913997134146,0.00343919830062152,0.073666497852068,-0.0407568013704745
"CMC074C",0.0959550615306757,-0.0608672257225247,0.0797555809772498,-0.000885273043748608,0.0246419545070595,0.00115802016231696,-0.0256112242072377,-0.0233192385301167,0.018104962520429,-0.0296648210471121,0.0153673770561008,-0.00462255521549809,0.0289611651359878,0.0100882406385337,0.0183524614167318,0.0333133159610777,-0.00372871251684476,0.00527637850728406,0.0109662995367911,-0.0214470090796772,0.0176429093186751,-0.0109958199169985,0.0804900966505712
"CMF092C",0.0899876764622576,0.0813930825093297,-0.0219748467085831,-0.0679780696777327,0.0351419630484933,-0.0349173381152787,0.0331760029486882,-0.029828508269377,0.075317169826378,0.0470777781238801,0.0444066569191401,0.0356955252468218,-0.0166778926921474,-0.00374557705230784,0.0160948911001349,0.0105753255071416,0.0446566175482447,0.00649793231624275,-0.0369799338222114,0.0626440073212201,0.00314633616024971,-0.061766522133644,-0.0250942735332752
"CMG019C",0.0656484103050394,0.0998824769742466,-0.0373483331442386,0.0592035252267111,0.174119476637232,-0.0515313954502269,0.0604063809172882,-0.156796637608487,0.0747314954803407,-0.0212963384722173,-0.265052849514715,0.20004324053431,-0.129937212480635,-0.110329972702331,0.0736852869716029,-0.0787721122424239,0.160211640086842,-0.255483955225926,0.106150190183116,0.074995374471812,-0.0563026646648543,0.0803408744631238,-0.0276570795211812
