"","Protein","Function","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","score"
"CMA001C","Similar to trefoil factor","nan",226.503456107217,2.24525752006492,0.472462677691613,4.75224314232594,2.01172248457096e-06,1.93525350123932e-05,24.3670774110262
"CMA007C","Serine O-acetyltransferase (EC 2.3.1.30)","nan",5833.28703784062,0.293420225240603,0.0942902176988023,3.11188405755829,0.00185897493377303,0.00703530774399534,1.45442943477828
"CMA009C","NAD-dependent sorbitol dehydrogenase","nan",4175.66281885942,0.744521401976715,0.200146788934058,3.71987682611292,0.00019931996039887,0.00106485810016442,5.09618476516542
"CMA011C","Probable aminoacylase I","nan",1706.26631649978,0.410029305534491,0.0848730146332398,4.8310915702281,1.35786531231517e-06,1.35102123312004e-05,4.59727509825189
"CMA017C","Probable lysophosphatidic acid acyltransferase","nan",4734.4500135341,0.752991326274046,0.143364079872716,5.25230118271312,1.50210570286723e-07,1.8578675798621e-06,9.93653467715646
"CMA022C","Uncharacterized protein","nan",3162.31752882263,-0.492767223245601,0.132008765247033,-3.73283715155933,0.000189335012927678,0.00101929593875577,3.39449755505531
"CMA033C","ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)","Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. {ECO:0000256|HAMAP-Rule:MF_03157}.",2002.00121910748,0.60335569331732,0.14931294218187,4.04088007710949,5.32509855766076e-05,0.000348071011682859,4.8045841604883
"CMA034C","Uncharacterized protein","nan",6274.22011883644,1.17279590689403,0.223395104829071,5.24987290026515,1.52204190864564e-07,1.87313636388185e-06,15.4667108388181
"CMA036C","Similar to tubulin folding cofactor B","nan",1746.82948281177,1.0285944685341,0.267794369428827,3.84098616684124,0.000122541020743549,0.000705647534853459,7.46388743711539
"CMA046C","TPR_REGION domain-containing protein","nan",2382.6776531453,-0.965592373449234,0.265600919665022,-3.63550086598739,0.000277441061792756,0.00141297382863493,6.33627383223419
"CMA068C","Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)","nan",1431.64482383812,-1.01040189145952,0.302642008669114,-3.33860423377054,0.000842004337133652,0.00364179789987255,5.67368730083397
"CMA070C","Uncharacterized protein","nan",5252.30513507601,-0.858207647300805,0.256029665723949,-3.3519851884122,0.000802343112454909,0.00349674518277465,4.85395610590268
"CMA075C","Similar to RNA-binding protein QKI","nan",11556.9013944352,1.34869219587421,0.222741036283664,6.05497854538413,1.40436380645153e-09,2.76116947603119e-08,23.4740233161624
"CMA082C","30S ribosomal protein S5, chloroplastic","With S4 and S12 plays an important role in translational accuracy. {ECO:0000256|ARBA:ARBA00002524}.",15033.4276893092,-1.06344149699103,0.226692549530485,-4.69111798863077,2.71716212972885e-06,2.53003681324752e-05,11.2562002926772
"CMA086C","Uncharacterized protein","nan",4995.58436009844,-0.551907650176613,0.101462549914349,-5.4395207950373,5.34240735526101e-08,7.42669867555298e-07,7.78908051207962
"CMA091C","Uncharacterized protein","nan",3543.47868249178,-0.798099175252875,0.147855821266631,-5.39782044708034,6.74553233433099e-08,8.99708164051985e-07,11.1104945579929
"CMA127C","Cyclin-dependent kinases regulatory subunit","Binds to the catalytic subunit of the cyclin dependent kinases and is essential for their biological function. {ECO:0000256|RuleBase:RU311113}.",1862.79169143301,0.804598339284863,0.187202101825043,4.29801979486765,1.72330776286164e-05,0.00013083882784188,7.19435170572508
"CMA133C","Similar to syntaxin 6","nan",2219.76680409101,0.525037556043312,0.090968770872296,5.77162416298195,7.85110754448987e-09,1.3594812537564e-07,8.30136483721091
"CMA134C","Phosphatidylethanolamine N-methyltransferase (PEAMT) (PEMT) (EC 2.1.1.17) (EC 2.1.1.71) (Phospholipid methyltransferase) (PLMT)","Catalyzes the three sequential steps of the methylation pathway of phosphatidylcholine biosynthesis, the SAM-dependent methylation of phosphatidylethanolamine (PE) to phosphatidylmonomethylethanolamine (PMME), PMME to phosphatidyldimethylethanolamine (PDME), and PDME to phosphatidylcholine (PC). {ECO:0000256|HAMAP-Rule:MF_03216}.",11620.6247921571,3.30692140555412,0.373913894086345,8.84407201191215,9.22920819707651e-19,8.13323972367367e-17,122.514782058869
"CMA135C","Similar to androgen-regulated short-chain dehydrogenase/reductase 1","nan",1722.5888898715,0.572619977504344,0.10852398733955,5.27643695686125,1.31719798312917e-07,1.66069001237729e-06,7.62058548929369
"CMA142C","Similar to trefoil factor","nan",586.133295510528,3.99478900872907,0.622699176998821,6.4152790886644,1.40565110007261e-10,3.2721170654992e-09,78.049503109026
"CMB018C","60S ribosomal protein L18","nan",7898.83671455135,-0.915024470380218,0.25689341095695,-3.56188376716893,0.000368203399468991,0.00178846828383806,5.78880690482926
"CMB023C","Uncharacterized protein","nan",7008.41797709946,3.91476559501984,0.402031223575873,9.73746655844263,2.08692217165838e-22,3.02910615209826e-20,175.943010253859
"CMB025C","Protoporphyrinogen oxidase (EC 1.3.3.4)","Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX. {ECO:0000256|ARBA:ARBA00002600, ECO:0000256|RuleBase:RU367069}.",4427.66000484742,-0.447594798925392,0.0940517654550374,-4.75902601891476,1.94529361147483e-06,1.88235764169182e-05,4.87001063333039
"CMB034C","DJ-1_PfpI domain-containing protein","nan",425.256965221741,-0.601791323795085,0.100950926552216,-5.96122635371566,2.50351888237499e-09,4.73366501322627e-08,10.1498010314387
"CMB036C","Similar to DnaJ family molecular chaperone","nan",1901.26212354432,-0.297528424062288,0.066632942440111,-4.46518513466074,7.99995444702601e-06,6.69148732136837e-05,2.85986978002259
"CMB047C","Uncharacterized protein","nan",1786.11930064825,1.24156889587925,0.236846437963151,5.24208388589915,1.58773153460703e-07,1.94911818987207e-06,16.3243135899706
"CMB050C","SGNH_hydro domain-containing protein","nan",6756.76263451575,1.75475042079653,0.439825454213439,3.98965181297804,6.61703571059248e-05,0.000415612275088233,13.6620617114617
"CMB054C","Uncharacterized protein","nan",42.5674814647104,-1.01237979767098,0.258758927407428,-3.91244394083047,9.13667520359501e-05,0.000545217559005337,7.60735148332814
"CMB059C","Aluminum resistance protein","nan",4961.39558469527,1.21290210100095,0.392024548868712,3.09394425553475,0.00197514594179064,0.00742372065707296,5.94694986117991
"CMB061C","Uncharacterized protein","nan",430.798741686534,-1.06116570028892,0.151867428566875,-6.98744760678969,2.79932057437567e-12,8.74344749021766e-11,24.5767371209777
"CMB062C","Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2)","Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its highly electrophilic allylic isomer, dimethylallyl diphosphate (DMAPP). {ECO:0000256|ARBA:ARBA00003951}.",1871.36479370391,0.383988653932671,0.0825864560497764,4.64953543594647,3.32683523354049e-06,3.04035775509672e-05,3.99384689528727
"CMB066C","Uncharacterized protein","nan",3333.38439589373,0.256692810615601,0.0649624558720833,3.95140250117778,7.76945248461328e-05,0.000480420515165908,1.96135094480415
"CMB069C","Uncharacterized protein","nan",2007.58673862712,0.520389572317329,0.137717312778888,3.77867939634314,0.000157662251554184,0.000870316791297423,3.66700488907587
"CMB074C","SPX domain-containing protein","nan",8919.86895743937,1.17724717518179,0.390574687845622,3.01414098715764,0.0025770801631054,0.00920918943151711,5.51840904833804
"CMB079C","MYB-related protein","nan",3620.21843991361,0.954009444245645,0.215504544770323,4.42686461792438,9.56126988937484e-06,7.85367009731156e-05,9.01724433294988
"CMB081C","ENTH domain-containing protein","nan",17563.0403441036,0.735224942618076,0.15280494976461,4.81152569828833,1.4978247081016e-06,1.47835298689628e-05,8.17716949110451
"CMB091C","Similar to eukaryotic translation elongation factor 1 alpha","nan",3127.10721465251,0.437932466654814,0.112047307658559,3.90846041557126,9.288616253115e-05,0.000552947179844662,3.28460214073274
"CMB094C","Rhomboid domain-containing protein","nan",2920.538422477,1.71004651081179,0.155321874058886,11.0096953257431,3.43162216815229e-28,8.91318705254291e-26,98.6349364631638
"CMB098C","NFACT-R_1 domain-containing protein","nan",894.387624319366,-0.353366129754358,0.108124712457508,-3.26813474665404,0.00108258810951534,0.0044755167008609,1.91140455963323
"CMB105C","J domain-containing protein","nan",1598.42989667052,0.477037197666207,0.117564291874476,4.05767082895836,4.95645604627007e-05,0.000325700540457294,3.83038553272887
"CMB106C","Uncharacterized protein","nan",3234.69687093035,-1.15725615270318,0.137846202361184,-8.39527047448827,4.6482297839929e-17,3.32449478029058e-15,38.5799791707483
"CMB114C","Uncharacterized protein","nan",1766.2373941296,0.7896168735048,0.203645090473311,3.87741669425752,0.000105571458202729,0.000616630753913891,5.83624795210985
"CMB115C","Uncharacterized protein","nan",1830.41474373868,-1.24850130234382,0.11702297716049,-10.6688560882499,1.42368236039002e-26,2.92744685355199e-24,67.6536781661142
"CMB121C","Uncharacterized protein","nan",4060.55817821889,-0.846366544232261,0.198077049437942,-4.27291574987555,1.92933369019931e-05,0.000144920270336888,7.48131049949922
"CMB135C","Uncharacterized protein","nan",5533.64864404007,-0.915197447347718,0.165988893362647,-5.51360653600012,3.51554066484182e-08,5.14812854035442e-07,13.2515670206266
"CMB139C","Mitochondrial inner membrane protease subunit (EC 3.4.21.-)","nan",3883.45226297157,-0.926575356067336,0.165756885509679,-5.5899660108734,2.2711406349213e-08,3.49161340602386e-07,13.7760738193954
"CMB140C","Uncharacterized protein","nan",1241.58453927436,-0.764109375384697,0.165553924667509,-4.61547122437176,3.92204383705959e-06,3.51914297016165e-05,7.83571850888479
"CMB156C","Probable phosphoinositide phosphatase SAC1","nan",2821.21288512162,0.288585886490748,0.0787309703900399,3.66546843079756,0.000246886266782821,0.00127179929704929,1.92409520646119
"CMB158C","Similar to trehalose synthase","nan",3557.48410059207,-0.363566548665578,0.0811322543613877,-4.48115920760862,7.4238703601056e-06,6.26270089352498e-05,3.51871118889362
"CMB159C","MYB-related protein","nan",4834.44636896265,-1.51309572590079,0.349501960015889,-4.32929110277951,1.49590090508929e-05,0.000115891223965709,13.7129725080477
"CMC010C","Similar to U3 snoRNP component Imp3p","nan",8025.67080545411,0.807112337532663,0.239823288464258,3.36544604446516,0.000764200115709014,0.00336866664340204,4.59508284636303
"CMC019C","Vesicle transport protein Rop","nan",505.414988179985,-0.608245110424642,0.12348962713964,-4.9254753173467,8.41555337332228e-07,8.798888961302e-06,7.0805114423896
