Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,0.9631929559923407,['CYME_CMC037C'],0 1449 42 108
cme02010,ABC transporters,0.21013239467206316,['CYME_CMT120C'],0 1449 42 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 42 70
cme03010,Ribosome,0.9840348491704352,['CYME_CMJ238C'],0 1449 42 134
cme03013,RNA transport,0.8400744335061228,['CYME_CMI187C'],0 1449 42 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 42 36
cme03018,RNA degradation,0.7471161047651861,['CYME_CMM026C'],0 1449 42 46
cme03020,RNA polymerase,0.15170794335367507,"['CYME_CMG169C', 'CYME_CMP008C']",1 1449 42 24
cme03022,Basal transcription factors,0.5091821879596432,['CYME_CMD185C'],0 1449 42 24
cme03030,DNA replication,0.6138831429585677,['CYME_CMC123C'],0 1449 42 32
cme03040,Spliceosome,1.0,[],-1 1449 42 44
cme03050,Proteasome,0.09468404520936316,"['CYME_CMK289C', 'CYME_CMC114C', 'CYME_CMI156C']",2 1449 42 38
cme03060,Protein export,0.49428742776802964,['CYME_CMT579C'],0 1449 42 23
cme03410,Base excision repair,1.0,[],-1 1449 42 23
cme03420,Nucleotide excision repair,0.33499427112474384,"['CYME_CML058C', 'CYME_CMC123C']",1 1449 42 41
cme03430,Mismatch repair,0.44690632109781026,['CYME_CMC123C'],0 1449 42 20
cme03440,Homologous recombination,0.430170057040216,['CYME_CMC123C'],0 1449 42 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 42 4
cme04016,MAPK signaling pathway - plant,0.16204687857076666,['CYME_CME034C'],0 1449 42 6
cme04070,Phosphatidylinositol signaling system,0.3581406844627239,['CYME_CME034C'],0 1449 42 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 42 46
cme04122,Sulfur relay system,1.0,[],-1 1449 42 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 42 15
cme04136,Autophagy - other,1.0,[],-1 1449 42 4
cme04141,Protein processing in endoplasmic reticulum,0.23459667467507786,"['CYME_CMO226C', 'CYME_CMT579C', 'CYME_CMJ101C']",2 1449 42 58
cme04144,Endocytosis,0.5899611426942873,['CYME_CMF103C'],0 1449 42 30
cme04145,Phagosome,1.0,[],-1 1449 42 22
cme04146,Peroxisome,0.5899611426942873,['CYME_CMM177C'],0 1449 42 30
cme04712,Circadian rhythm - plant,0.16204687857076666,['CYME_CMS371C'],0 1449 42 6
cme00010,Glycolysis / Gluconeogenesis,0.39888254411634155,"['CYME_CMT034C', 'CYME_CMJ250C']",1 1449 42 47
cme00020,Citrate cycle (TCA cycle),0.5513429844399365,['CYME_CMQ191C'],0 1449 42 27
cme00030,Pentose phosphate pathway,0.6253276792995411,['CYME_CMT034C'],0 1449 42 33
cme00040,Pentose and glucuronate interconversions,1.0,[],-1 1449 42 10
cme00051,Fructose and mannose metabolism,0.3581406844627239,['CYME_CMQ359C'],0 1449 42 15
cme00052,Galactose metabolism,1.0,[],-1 1449 42 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 42 11
cme00061,Fatty acid biosynthesis,1.0,[],-1 1449 42 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 42 7
cme00071,Fatty acid degradation,1.0,[],-1 1449 42 11
cme00072,Synthesis and degradation of ketone bodies,1.0,[],-1 1449 42 4
cme00100,Steroid biosynthesis,0.27724962157799415,['CYME_CMG178C'],0 1449 42 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0,[],-1 1449 42 13
cme00190,Oxidative phosphorylation,0.5880477623278274,"['CYME_CMG064C', 'CYME_CMM026C']",1 1449 42 67
cme00195,Photosynthesis,0.4298478110126849,"['CYME_CMQ165C', 'CYME_CMO066C']",1 1449 42 50
cme00196,Photosynthesis - antenna proteins,1.0,[],-1 1449 42 8
cme00220,Arginine biosynthesis,1.0,[],-1 1449 42 14
cme00230,Purine metabolism,1.0,[],-1 1449 42 49
cme00240,Pyrimidine metabolism,0.5376980933083065,['CYME_CML265C'],0 1449 42 26
cme00250,"Alanine, aspartate and glutamate metabolism",1.0,[],-1 1449 42 21
cme00260,"Glycine, serine and threonine metabolism",0.22586744275915813,"['CYME_CMT003C', 'CYME_CMM177C']",1 1449 42 31
cme00261,Monobactam biosynthesis,1.0,[],-1 1449 42 7
cme00270,Cysteine and methionine metabolism,1.0,[],-1 1449 42 40
cme00280,"Valine, leucine and isoleucine degradation",1.0,[],-1 1449 42 22
cme00290,"Valine, leucine and isoleucine biosynthesis",1.0,[],-1 1449 42 11
cme00300,Lysine biosynthesis,1.0,[],-1 1449 42 8
cme00310,Lysine degradation,1.0,[],-1 1449 42 9
cme00330,Arginine and proline metabolism,0.37693991127655335,['CYME_CMM177C'],0 1449 42 16
cme00332,Carbapenem biosynthesis,1.0,[],-1 1449 42 2
cme00340,Histidine metabolism,1.0,[],-1 1449 42 11
cme00350,Tyrosine metabolism,0.3581406844627239,['CYME_CMT003C'],0 1449 42 15
cme00360,Phenylalanine metabolism,0.27724962157799415,['CYME_CMT003C'],0 1449 42 11
cme00380,Tryptophan metabolism,1.0,[],-1 1449 42 13
cme00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0,[],-1 1449 42 23
cme00410,beta-Alanine metabolism,0.25552054792442414,['CYME_CMT003C'],0 1449 42 10
cme00430,Taurine and hypotaurine metabolism,1.0,[],-1 1449 42 3
cme00440,Phosphonate and phosphinate metabolism,1.0,[],-1 1449 42 2
cme00450,Selenocompound metabolism,1.0,[],-1 1449 42 12
cme00460,Cyanoamino acid metabolism,1.0,[],-1 1449 42 6
cme00472,D-Arginine and D-ornithine metabolism,0.29835915975138794,['CYME_CMM177C'],0 1449 42 12
cme00480,Glutathione metabolism,0.5645944574736332,['CYME_CMO318C'],0 1449 42 28
cme00500,Starch and sucrose metabolism,1.0,[],-1 1449 42 24
cme00510,N-Glycan biosynthesis,0.026792364004317528,"['CYME_CMQ309C', 'CYME_CMO226C', 'CYME_CMQ042C']",2 1449 42 23
cme00511,Other glycan degradation,1.0,[],-1 1449 42 3
cme00513,Various types of N-glycan biosynthesis,0.06785255180799446,"['CYME_CMO226C', 'CYME_CMT636C']",1 1449 42 15
cme00514,Other types of O-glycan biosynthesis,1.0,[],-1 1449 42 6
cme00515,Mannose type O-glycan biosynthesis,1.0,[],-1 1449 42 6
cme00520,Amino sugar and nucleotide sugar metabolism,0.23674574770944928,"['CYME_CMR012C', 'CYME_CMQ359C']",1 1449 42 32
cme00523,Polyketide sugar unit biosynthesis,1.0,[],-1 1449 42 9
cme00561,Glycerolipid metabolism,0.015887210835769505,"['CYME_CMQ199C', 'CYME_CMR012C', 'CYME_CMR015C']",2 1449 42 19
cme00562,Inositol phosphate metabolism,1.0,[],-1 1449 42 16
cme00564,Glycerophospholipid metabolism,0.5774635868100031,['CYME_CMS008C'],0 1449 42 29
cme00565,Ether lipid metabolism,0.18643636651233111,['CYME_CMS008C'],0 1449 42 7
cme00590,Arachidonic acid metabolism,1.0,[],-1 1449 42 4
cme00592,alpha-Linolenic acid metabolism,1.0,[],-1 1449 42 3
cme00600,Sphingolipid metabolism,1.0,[],-1 1449 42 10
cme00620,Pyruvate metabolism,1.0,[],-1 1449 42 42
