Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00970,Aminoacyl-tRNA biosynthesis,1.0,[],-1 1449 6 108
cme02010,ABC transporters,1.0,[],-1 1449 6 8
cme03008,Ribosome biogenesis in eukaryotes,1.0,[],-1 1449 6 70
cme03010,Ribosome,1.0,[],-1 1449 6 134
cme03013,RNA transport,1.0,[],-1 1449 6 61
cme03015,mRNA surveillance pathway,1.0,[],-1 1449 6 36
cme03018,RNA degradation,1.0,[],-1 1449 6 46
cme03020,RNA polymerase,1.0,[],-1 1449 6 24
cme03022,Basal transcription factors,1.0,[],-1 1449 6 24
cme03030,DNA replication,1.0,[],-1 1449 6 32
cme03040,Spliceosome,1.0,[],-1 1449 6 44
cme03050,Proteasome,1.0,[],-1 1449 6 38
cme03060,Protein export,1.0,[],-1 1449 6 23
cme03410,Base excision repair,1.0,[],-1 1449 6 23
cme03420,Nucleotide excision repair,1.0,[],-1 1449 6 41
cme03430,Mismatch repair,1.0,[],-1 1449 6 20
cme03440,Homologous recombination,1.0,[],-1 1449 6 19
cme03450,Non-homologous end-joining,1.0,[],-1 1449 6 4
cme04016,MAPK signaling pathway - plant,1.0,[],-1 1449 6 6
cme04070,Phosphatidylinositol signaling system,1.0,[],-1 1449 6 15
cme04120,Ubiquitin mediated proteolysis,1.0,[],-1 1449 6 46
cme04122,Sulfur relay system,1.0,[],-1 1449 6 8
cme04130,SNARE interactions in vesicular transport,1.0,[],-1 1449 6 15
cme04136,Autophagy - other,1.0,[],-1 1449 6 4
cme04141,Protein processing in endoplasmic reticulum,1.0,[],-1 1449 6 58
cme04144,Endocytosis,1.0,[],-1 1449 6 30
cme04145,Phagosome,1.0,[],-1 1449 6 22
cme04146,Peroxisome,0.005905490625649187,"['CYME_CMT028C', 'CYME_CMT459C']",1 1449 6 30
cme04712,Circadian rhythm - plant,1.0,[],-1 1449 6 6
cme00010,Glycolysis / Gluconeogenesis,0.17978696883808315,['CYME_CMK098C'],0 1449 6 47
cme00020,Citrate cycle (TCA cycle),1.0,[],-1 1449 6 27
cme00030,Pentose phosphate pathway,1.0,[],-1 1449 6 33
cme00040,Pentose and glucuronate interconversions,1.0,[],-1 1449 6 10
cme00051,Fructose and mannose metabolism,1.0,[],-1 1449 6 15
cme00052,Galactose metabolism,1.0,[],-1 1449 6 11
cme00053,Ascorbate and aldarate metabolism,1.0,[],-1 1449 6 11
cme00061,Fatty acid biosynthesis,0.06062835252231823,['CYME_CMT459C'],0 1449 6 15
cme00062,Fatty acid elongation,1.0,[],-1 1449 6 7
cme00071,Fatty acid degradation,0.04476874259602989,['CYME_CMT459C'],0 1449 6 11
cme00072,Synthesis and degradation of ketone bodies,1.0,[],-1 1449 6 4
cme00100,Steroid biosynthesis,1.0,[],-1 1449 6 11
cme00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0,[],-1 1449 6 13
cme00190,Oxidative phosphorylation,1.0,[],-1 1449 6 67
cme00195,Photosynthesis,0.19027997482771375,['CYME_CMT182C'],0 1449 6 50
cme00196,Photosynthesis - antenna proteins,1.0,[],-1 1449 6 8
cme00220,Arginine biosynthesis,0.056684174856136554,['CYME_CMM066C'],0 1449 6 14
cme00230,Purine metabolism,1.0,[],-1 1449 6 49
cme00240,Pyrimidine metabolism,1.0,[],-1 1449 6 26
cme00250,"Alanine, aspartate and glutamate metabolism",0.08400595965320394,['CYME_CMM066C'],0 1449 6 21
cme00260,"Glycine, serine and threonine metabolism",1.0,[],-1 1449 6 31
cme00261,Monobactam biosynthesis,1.0,[],-1 1449 6 7
cme00270,Cysteine and methionine metabolism,1.0,[],-1 1449 6 40
cme00280,"Valine, leucine and isoleucine degradation",1.0,[],-1 1449 6 22
cme00290,"Valine, leucine and isoleucine biosynthesis",1.0,[],-1 1449 6 11
cme00300,Lysine biosynthesis,1.0,[],-1 1449 6 8
cme00310,Lysine degradation,1.0,[],-1 1449 6 9
cme00330,Arginine and proline metabolism,1.0,[],-1 1449 6 16
cme00332,Carbapenem biosynthesis,1.0,[],-1 1449 6 2
cme00340,Histidine metabolism,1.0,[],-1 1449 6 11
cme00350,Tyrosine metabolism,1.0,[],-1 1449 6 15
cme00360,Phenylalanine metabolism,1.0,[],-1 1449 6 11
cme00380,Tryptophan metabolism,1.0,[],-1 1449 6 13
cme00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0,[],-1 1449 6 23
cme00410,beta-Alanine metabolism,1.0,[],-1 1449 6 10
cme00430,Taurine and hypotaurine metabolism,1.0,[],-1 1449 6 3
cme00440,Phosphonate and phosphinate metabolism,1.0,[],-1 1449 6 2
cme00450,Selenocompound metabolism,1.0,[],-1 1449 6 12
cme00460,Cyanoamino acid metabolism,1.0,[],-1 1449 6 6
cme00472,D-Arginine and D-ornithine metabolism,1.0,[],-1 1449 6 12
cme00480,Glutathione metabolism,1.0,[],-1 1449 6 28
cme00500,Starch and sucrose metabolism,1.0,[],-1 1449 6 24
cme00510,N-Glycan biosynthesis,1.0,[],-1 1449 6 23
cme00511,Other glycan degradation,1.0,[],-1 1449 6 3
cme00513,Various types of N-glycan biosynthesis,1.0,[],-1 1449 6 15
cme00514,Other types of O-glycan biosynthesis,1.0,[],-1 1449 6 6
cme00515,Mannose type O-glycan biosynthesis,1.0,[],-1 1449 6 6
cme00520,Amino sugar and nucleotide sugar metabolism,1.0,[],-1 1449 6 32
cme00523,Polyketide sugar unit biosynthesis,1.0,[],-1 1449 6 9
cme00561,Glycerolipid metabolism,1.0,[],-1 1449 6 19
cme00562,Inositol phosphate metabolism,1.0,[],-1 1449 6 16
cme00564,Glycerophospholipid metabolism,1.0,[],-1 1449 6 29
cme00565,Ether lipid metabolism,1.0,[],-1 1449 6 7
cme00590,Arachidonic acid metabolism,1.0,[],-1 1449 6 4
cme00592,alpha-Linolenic acid metabolism,1.0,[],-1 1449 6 3
cme00600,Sphingolipid metabolism,1.0,[],-1 1449 6 10
cme00620,Pyruvate metabolism,0.16204687857083147,['CYME_CMK098C'],0 1449 6 42
cme00630,Glyoxylate and dicarboxylate metabolism,0.125606340496128,['CYME_CMK098C'],0 1449 6 32
cme00640,Propanoate metabolism,0.09168990322918548,['CYME_CMK098C'],0 1449 6 23
cme00650,Butanoate metabolism,1.0,[],-1 1449 6 10
cme00660,C5-Branched dibasic acid metabolism,1.0,[],-1 1449 6 3
cme00670,One carbon pool by folate,1.0,[],-1 1449 6 11
cme00710,Carbon fixation in photosynthetic organisms,0.11066508997710446,['CYME_CMM066C'],0 1449 6 28
cme00730,Thiamine metabolism,1.0,[],-1 1449 6 12
cme00740,Riboflavin metabolism,1.0,[],-1 1449 6 8
cme00750,Vitamin B6 metabolism,1.0,[],-1 1449 6 7
cme00760,Nicotinate and nicotinamide metabolism,1.0,[],-1 1449 6 14
cme00770,Pantothenate and CoA biosynthesis,1.0,[],-1 1449 6 12
cme00780,Biotin metabolism,1.0,[],-1 1449 6 9
cme00785,Lipoic acid metabolism,1.0,[],-1 1449 6 5
cme00790,Folate biosynthesis,1.0,[],-1 1449 6 15
cme00860,Porphyrin and chlorophyll metabolism,0.10689672171420109,['CYME_CMP285C'],0 1449 6 27
cme00900,Terpenoid backbone biosynthesis,1.0,[],-1 1449 6 20
cme00906,Carotenoid biosynthesis,1.0,[],-1 1449 6 5
cme00909,Sesquiterpenoid and triterpenoid biosynthesis,1.0,[],-1 1449 6 2
cme00910,Nitrogen metabolism,1.0,[],-1 1449 6 8
cme00920,Sulfur metabolism,1.0,[],-1 1449 6 15
