"","Protein","Function","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","score"
"CMA001C","Similar to trefoil factor","nan",226.503456107217,2.31792334146297,0.222695754563137,10.4084756622777,2.2682443329293e-25,1.11603048684009e-24,127.838720176752
"CMA007C","Serine O-acetyltransferase (EC 2.3.1.30)","nan",5833.28703784062,0.602112593230773,0.0527509594824816,11.4142491271791,3.54956083024608e-30,2.00653868238997e-29,39.7867310158267
"CMA009C","NAD-dependent sorbitol dehydrogenase","nan",4175.66281885942,1.68375949579311,0.0621725805427623,27.0820268532206,1.60334209381454e-161,7.0022064008626e-160,617.042947103052
"CMA010C","Uncharacterized protein","nan",2423.15993883656,0.974837769348638,0.0654464706372474,14.8951923588349,3.54163886634668e-50,3.55967165079855e-49,108.749978252818
"CMA011C","Probable aminoacylase I","nan",1706.26631649978,0.728201900129543,0.129858854038817,5.60764150830924,2.05102302799605e-08,4.80161225956381e-08,12.2714610746467
"CMA017C","Probable lysophosphatidic acid acyltransferase","nan",4734.4500135341,0.221719603211452,0.0617905764040597,3.58824299941123,0.000332913935667887,0.000573648838170748,1.65480273514412
"CMA021C","Similar to DnaJ-like protein","nan",27188.3096671805,1.24590003580799,0.147601076891595,8.44099556755289,3.14646081570747e-17,1.1276531681566e-16,45.7509728726331
"CMA022C","Uncharacterized protein","nan",3162.31752882263,-0.42385560872966,0.0734143505446974,-5.77347079399143,7.76550715920834e-09,1.85672373210723e-08,7.54542127711484
"CMA023C","MYB-related protein","nan",7401.47372783885,-1.57065239420475,0.11837484854626,-13.2684638121496,3.52737748768770e-40,2.77191208626414e-39,139.444531972927
"CMA025C","Bromo domain-containing protein","nan",4654.21498685041,-0.664891209470169,0.0842145018931767,-7.8952103797225,2.89825940213167e-15,9.61863493579005e-15,21.4594130134423
"CMA028C","PI31_Prot_N domain-containing protein","nan",730.465636304832,-0.59262353986789,0.159530999436688,-3.71478610402037,0.000203375650436813,0.000356159983997755,4.70550826455046
"CMA029C","Uncharacterized protein","nan",2449.09577855252,-0.479553272471,0.146292245134914,-3.27804985171117,0.0010452693375028,0.0017166070484447,3.05351018430465
"CMA030C","Pyruvate kinase (EC 2.7.1.40)","nan",7494.22790250303,-0.919520715827352,0.0792899755145429,-11.5969352980655,4.27100582403825e-31,2.47387485230384e-30,62.6853520851175
"CMA031C","Uncharacterized protein","nan",4957.49613766588,-0.645191251922006,0.116763834084703,-5.52560865253851,3.28345297873567e-08,7.57542798039296e-08,10.5784079500303
"CMA033C","ATP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.93) (ATP-dependent NAD(P)HX dehydratase)","Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S- and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. {ECO:0000256|HAMAP-Rule:MF_03157}.",2002.00121910748,-0.339767593516155,0.0694284338720445,-4.89378161895947,9.89165978123138e-07,2.06407361608359e-06,4.4478394815043
"CMA034C","Uncharacterized protein","nan",6274.22011883644,2.06189287915185,0.078147782879299,26.3845345726121,2.06202019481466e-153,8.2732273670003e-152,717.29110809958
"CMA035C","GTP--RNA guanylyltransferase (EC 2.7.7.50) (mRNA guanylyltransferase)","nan",2183.63777536956,-0.236467470753666,0.0661175879772925,-3.5764685008606,0.000348267259302042,0.000598224477777785,1.75495385547607
"CMA036C","Similar to tubulin folding cofactor B","nan",1746.82948281177,-0.514688825974291,0.108469814621707,-4.74499590295504,2.08510555777599e-06,4.26086787893354e-06,6.36466142112609
"CMA037C","Uncharacterized protein","nan",382.690076233542,1.52186838310111,0.178148074438109,8.54271587218209,1.31103474401353e-17,4.78901292502351e-17,57.1881952305903
"CMA039C","Uncharacterized protein","nan",1757.35949236232,-1.36606045369028,0.0974406966436169,-14.0194036038818,1.18607189096657e-44,1.03232183102646e-43,135.211773756852
"CMA040C","Citrate synthase","nan",1444.9072209839,-1.20686717493698,0.12439223474828,-9.70211024328969,2.9532627608769e-22,1.31300465990338e-21,58.0285498613346
"CMA041C","UDP-glucose 4-epimerase (EC 5.1.3.2)","nan",19808.7270240562,-1.21981573069104,0.0937420910688278,-13.0124655507783,1.03933747779292e-38,7.85471738577037e-38,104.217542035842
"CMA044C","Cryptochrome DASH","May have a photoreceptor function. {ECO:0000256|RuleBase:RU367151}.",1523.52041434811,-0.420294894900161,0.0656985365050401,-6.39732507386855,1.58122462121088e-10,4.17514366274784e-10,9.07698366536395
"CMA046C","TPR_REGION domain-containing protein","nan",2382.6776531453,-2.39872727866333,0.121084415879813,-19.8103716422457,2.42289173003232e-87,4.51206441045642e-86,471.387242148981
"CMA048C","3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)","nan",4780.03005365023,-0.643930550780495,0.0879204837070319,-7.32401055624531,2.40667743189244e-13,7.33145254715381e-13,17.9923420502099
"CMA050C","CRC domain-containing protein","nan",1377.5729008803,-1.40343331253954,0.127683276266918,-10.991520217618,4.19794982948437e-28,2.24695036968605e-27,86.1149818724788
"CMA052C","Probable ornithine decarboxylase","nan",22073.8344187874,1.43084845729384,0.0827557667606577,17.2900151047125,5.5937615410189e-67,7.79808282625092e-66,214.508133612666
"CMA053C","Fmp27_GFWDK domain-containing protein","nan",4929.01333296762,1.65106295193331,0.106199983956814,15.5467344760119,1.67427665062562e-54,1.81994609489812e-53,200.502117998972
"CMA056C","Uncharacterized protein","nan",6384.22909559354,1.28674214672384,0.10257170705563,12.5448058110798,4.24453565747173e-36,2.97539537920781e-35,102.296131042471
"CMA061C","Heat shock protein of Hsp90 family","nan",24069.5587267466,-1.38252739919513,0.0960532699393149,-14.393340279499,5.69762893615357e-47,5.28530052630035e-46,144.133990455755
"CMA062C","DNA polymerase iota, RAD30","nan",2470.6128529342,-0.758348464637542,0.10165215051933,-7.46023041089851,8.63713056318443e-14,2.69773666641235e-13,21.9475093211909
"CMA064C","Uncharacterized protein","nan",5078.41427288858,-0.275562158666567,0.0728377104535871,-3.7832347687831,0.000154803272792781,0.000274170731683147,2.2600945629611
"CMA068C","Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)","nan",1431.64482383812,-0.661231485213203,0.107603901542184,-6.14505120851941,7.99377212010464e-10,2.01374504403861e-09,13.2400163245356
"CMA069C","Uncharacterized protein","nan",7596.97568086358,-0.505001103201465,0.0956476249609632,-5.27980808104301,1.29319268340906e-07,2.87085285318206e-07,7.6070773025516
"CMA077C","Aspartate transaminase","nan",2336.15346867193,-0.42466058290342,0.0945852029533558,-4.48971477190612,7.13186069899239e-06,1.40501926345419e-05,4.74467937733803
"CMA079C","Similar to actin-binding protein frabin","nan",31.6703697059026,-1.31577846165026,0.457524276023453,-2.87586589521824,0.00402920855807042,0.00623499119659485,6.68096791683299
"CMA080C","Uncharacterized protein","nan",936.843218734698,2.51084381920006,0.0832970735707415,30.1432416718419,1.31531292636617e-199,8.21654340711016e-198,1139.43523395546
"CMA081C","Similar to AMP-activated protein kinase","nan",6026.66491630078,0.751387193645742,0.0573871172600431,13.0933078628243,3.59599317019411e-39,2.75562520107266e-38,64.9834127603269
"CMA082C","30S ribosomal protein S5, chloroplastic","With S4 and S12 plays an important role in translational accuracy. {ECO:0000256|ARBA:ARBA00002524}.",15033.4276893092,-1.12966258149032,0.0708117603280998,-15.9530362789477,2.7137599352153e-57,3.17355575362263e-56,144.359482510456
"CMA083C","Uncharacterized protein","nan",3625.36801803369,-0.254620954018075,0.0533544119715551,-4.77225677520017,1.82173041508577e-06,3.74281415422493e-06,3.18166012480748
"CMA085C","Uncharacterized protein","nan",3809.21355641545,-1.74853015139862,0.107575104250718,-16.2540409658674,2.09114923467636e-59,2.56074974519302e-58,231.871945703456
"CMA086C","Uncharacterized protein","nan",4995.58436009844,-0.73054622478704,0.0603649519601542,-12.1021586378344,1.02870027078481e-33,6.55896102884116e-33,54.1367450779871
"CMA089C","Chromosome assembly complex Condensin II, subunit G2","nan",2877.29203418469,-1.19574251590234,0.0838236248715364,-14.264982190103,3.61684266751948e-46,3.3053923267053e-45,122.468873997119
"CMA090C","NADH dehydrogenase I alpha subcomplex 8","nan",2916.34228396115,-0.364378706376301,0.0851191372621284,-4.28080826588009,1.86215744816213e-05,3.56468076287048e-05,3.73191240468587
"CMA091C","Uncharacterized protein","nan",3543.47868249178,-1.43493102216817,0.0661745399577619,-21.6840347221766,2.90282837738263e-104,6.9880283133577e-103,337.527439794762
"CMA093C","ATP-dependent DNA helicase RecQ","nan",1281.62592370214,0.503625857954729,0.10438425764498,4.8247299862744,1.40193062784593e-06,2.89841962648498e-06,6.42190702838259
"CMA098C","Deoxyhypusine synthase","nan",2392.81866438132,-0.890711239872245,0.0971380396021322,-9.16954103171641,4.7503724058308e-20,1.93106159989909e-19,38.3816797791204
"CMA099C","Uncharacterized protein","nan",1940.9657080493,-0.543611979318673,0.0839286667453692,-6.47707154657819,9.35198557079464e-11,2.50554010813635e-10,12.0178184463054
"CMA101C","Probable maintenance of ploidy protein MOB1","nan",1349.36834536698,-0.392337482458339,0.0827271918296077,-4.742545634408,2.11049267022229e-06,4.30739508996981e-06,4.84739912740739
"CMA106C","Similar to alpha-glucosidase","nan",3267.02326537319,-0.65053895898236,0.0884417581930164,-7.35556339305936,1.90123499732678e-13,5.82408113706248e-13,18.3267265678499
"CMA107C","Probable proline aminopeptidase P","nan",1861.92478638589,0.275385070712018,0.0956992757457196,2.87760872343211,0.00400701803569581,0.00620283375350025,1.39971320223142
"CMA111C","Probable transitional endoplasmic reticulum ATPase","nan",1626.37871853245,0.287008592470457,0.0764358684318577,3.75489411396332,0.000173414774831266,0.000305971367104862,2.32247899260203
"CMA114C","40S ribosomal protein S24","nan",17000.3674795375,-0.871776660150634,0.0888769637426825,-9.80880335510348,1.03184895616859e-22,4.65889716257272e-22,42.8200073179515
"CMA115C","Uncharacterized protein","nan",1589.50604036671,0.47878600136251,0.124900101504096,3.83335157935647,0.000126409083041573,0.000225534643821462,4.02038366303897
"CMA116C","Uncharacterized protein","nan",901.041749941123,0.673447287566475,0.122614790903071,5.49238213927099,3.96548187145395e-08,9.10216420261639e-08,10.9180409249558
"CMA118C","Uncharacterized protein","nan",1490.57128883922,0.374332829477308,0.0715552227563102,5.23138374891436,1.68245827735254e-07,3.70666589229232e-07,5.54310663607312
"CMA122C","40S ribosomal protein S7","nan",12601.965809706,-1.14384052209463,0.0880682640614136,-12.9881125089168,1.42908128969626e-38,1.07344233860746e-37,97.3691703017748
"CMA125C","Similar to Rab11-binding protein","nan",3024.90534688892,0.401639296713444,0.071969259631547,5.58070624555084,2.3954391609644e-08,5.56043850393195e-08,6.70938596625462
