	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMT003C	M1V7F4	M1V7F4_CYAM1	CYME_CMT003C				CYME_CMT003C	Amine oxidase (EC 1.4.3.-)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]; amine metabolic process [GO:0009308]	amine metabolic process [GO:0009308]	copper ion binding [GO:0005507]; primary amine oxidase activity [GO:0008131]; quinone binding [GO:0048038]		GO:0005507; GO:0008131; GO:0009308; GO:0048038					Cu cation [CHEBI:23378]; L-topaquinone [CHEBI:79027]	Copper;Metal-binding;Oxidoreductase;Reference proteome;TPQ		PTM: Topaquinone (TPQ) is generated by copper-dependent autoxidation of a specific tyrosyl residue. {ECO:0000256|PIRSR:PIRSR600269-51, ECO:0000256|RuleBase:RU000672}.	Active site (2); Domain (3); Modified residue (1)	cme:CYME_CMT003C;
CMT006C	M1UX91	M1UX91_CYAM1	CYME_CMT006C				CYME_CMT006C	Probable anion transporter		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; inorganic anion exchanger activity [GO:0005452]		inorganic anion exchanger activity [GO:0005452]	integral component of membrane [GO:0016021]	GO:0005452; GO:0016021						Coiled coil;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport			Coiled coil (1); Domain (2); Transmembrane (12)	cme:CYME_CMT006C;
CMT009C	M1VHW8	M1VHW8_CYAM1	CYME_CMT009C				CYME_CMT009C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMT009C;
CMT010C	M1VM81	M1VM81_CYAM1	CYME_CMT010C				CYME_CMT010C	Retroelement, alive		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1)	cme:CYME_CMT010C;
CMT012C	M1VC72	M1VC72_CYAM1	CYME_CMT012C				CYME_CMT012C	Similar to C3HC4 zinc-binding integral peroxisomal membrane protein PEX10		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	peroxisome [GO:0005777]; metal ion binding [GO:0046872]		metal ion binding [GO:0046872]	peroxisome [GO:0005777]	GO:0005777; GO:0046872						Metal-binding;Peroxisome;Reference proteome;Zinc;Zinc-finger			Domain (1); Region (1)	cme:CYME_CMT012C;
CMT014C	M1V7F6	M1V7F6_CYAM1	CYME_CMT014C				CYME_CMT014C	PPPDE domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	peptidase activity [GO:0008233]		peptidase activity [GO:0008233]		GO:0008233						Reference proteome			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMT014C;
CMT018C	M1UX94	M1UX94_CYAM1	CYME_CMT018C				CYME_CMT018C	Probable N-terminal acetyltransferase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	transferase activity [GO:0016740]		transferase activity [GO:0016740]		GO:0016740						Reference proteome;Repeat;TPR repeat;Transferase			Domain (2); Region (2); Repeat (4)	cme:CYME_CMT018C;
CMT019C	M1VHX1	M1VHX1_CYAM1	CYME_CMT019C				CYME_CMT019C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMT019C;
CMT021C	M1VM83	M1VM83_CYAM1	CYME_CMT021C				CYME_CMT021C	Similar to AKIN beta2		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (2); Region (1)	cme:CYME_CMT021C;
CMT023C	M1VC75	M1VC75_CYAM1	CYME_CMT023C				CYME_CMT023C	Similar to nucleolar-matrix protein with nucleic-acid binding properties, subunit 6		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]			nucleus [GO:0005634]	GO:0005634						Nucleus;Reference proteome			Compositional bias (6); Domain (1); Region (2)	cme:CYME_CMT023C;
CMT024C	M1V7F8	M1V7F8_CYAM1	CYME_CMT024C				CYME_CMT024C	Arsenic methyltransferase Cyt19		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methylation [GO:0032259]	methyltransferase activity [GO:0008168]		GO:0008168; GO:0032259						Methyltransferase;Reference proteome;Transferase			Domain (1)	cme:CYME_CMT024C;
CMT025C	M1UX97	M1UX97_CYAM1	CYME_CMT025C				CYME_CMT025C	Probable exodeoxyribonuclease V, alpha subunit		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	5'-3' DNA helicase activity [GO:0043139]; DNA binding [GO:0003677]; DNA repair [GO:0006281]	DNA repair [GO:0006281]	5'-3' DNA helicase activity [GO:0043139]; DNA binding [GO:0003677]		GO:0003677; GO:0006281; GO:0043139						Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (2); Domain (3); Region (2)	cme:CYME_CMT025C;
CMT026C	M1VHX4	M1VHX4_CYAM1	CYME_CMT026C				CYME_CMT026C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1)	cme:CYME_CMT026C;
CMT028C	M1VM85	M1VM85_CYAM1	CYME_CMT028C				CYME_CMT028C	Superoxide dismutase (EC 1.15.1.1)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]		metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]		GO:0004784; GO:0046872						Metal-binding;Oxidoreductase;Reference proteome			Domain (2)	cme:CYME_CMT028C;
CMT029C	M1VC78	M1VC78_CYAM1	CYME_CMT029C				CYME_CMT029C	N-formylglutamate deformylase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMT029C;
CMT030C	M1V7F9	M1V7F9_CYAM1	CYME_CMT030C				CYME_CMT030C	40S ribosomal protein S30		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412						Reference proteome;Ribonucleoprotein;Ribosomal protein			Region (1)	cme:CYME_CMT030C;
CMT031C	M1UX98	M1UX98_CYAM1	CYME_CMT031C				CYME_CMT031C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	5'-nucleotidase activity [GO:0008253]; deoxyribonucleotide catabolic process [GO:0009264]	deoxyribonucleotide catabolic process [GO:0009264]	5'-nucleotidase activity [GO:0008253]		GO:0008253; GO:0009264						Reference proteome				cme:CYME_CMT031C;
CMT032C	M1VHX7	M1VHX7_CYAM1	CYME_CMT032C				CYME_CMT032C	Rad60-SLD_2 domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (2); Domain (1); Region (3)	cme:CYME_CMT032C;
CMT034C	M1VM86	M1VM86_CYAM1	CYME_CMT034C				CYME_CMT034C	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]		oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]		GO:0016620						Coiled coil;Oxidoreductase;Reference proteome			Active site (2); Coiled coil (1); Domain (1)	cme:CYME_CMT034C;
CMT035C	M1VC81	M1VC81_CYAM1	CYME_CMT035C				CYME_CMT035C	DUF676 domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Domain (1); Region (1); Transmembrane (1)	cme:CYME_CMT035C;
CMT037C	M1V7G1	M1V7G1_CYAM1	CYME_CMT037C				CYME_CMT037C	Similar to thioredoxin-like protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (1)	cme:CYME_CMT037C;
CMT038C	M1UXA2	M1UXA2_CYAM1	CYME_CMT038C				CYME_CMT038C	Similar to retinoblastoma-family protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]	regulation of cell cycle [GO:0051726]; regulation of transcription by RNA polymerase II [GO:0006357]		nucleus [GO:0005634]	GO:0005634; GO:0006357; GO:0051726						Reference proteome			Compositional bias (3); Domain (1); Region (4)	cme:CYME_CMT038C;
CMT041C	M1VHY0	M1VHY0_CYAM1	CYME_CMT041C				CYME_CMT041C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (2)	cme:CYME_CMT041C;
CMT042C	M1VM88	M1VM88_CYAM1	CYME_CMT042C				CYME_CMT042C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (4); Region (5)	cme:CYME_CMT042C;
CMT043C	M1VC85	M1VC85_CYAM1	CYME_CMT043C				CYME_CMT043C	GTP-binding protein of Nug1 family		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	GTP binding [GO:0005525]		GTP binding [GO:0005525]		GO:0005525						Reference proteome			Domain (1)	cme:CYME_CMT043C;
