Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
Q85G59	PSBA_CYAM1	psbA	psbA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]	photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]; response to herbicide [GO:0009635]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor [GO:0016682]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]	GO:0005506; GO:0009523; GO:0009535; GO:0009635; GO:0009772; GO:0016021; GO:0016168; GO:0016682; GO:0018298; GO:0045156
Q85FV9	RR19_CYAM1	rps19	rps19				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0009507; GO:0015935; GO:0019843
Q85G35	SECA_CYAM1	secA	secA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; ATP binding [GO:0005524]; intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]	intracellular protein transmembrane transport [GO:0065002]; protein import [GO:0017038]; protein targeting [GO:0006605]	ATP binding [GO:0005524]	chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]	GO:0005524; GO:0006605; GO:0009535; GO:0009570; GO:0017038; GO:0065002
Q85G61	PSBY_CYAM1	psbY	psbY				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; manganese ion binding [GO:0030145]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	manganese ion binding [GO:0030145]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]	GO:0009523; GO:0009535; GO:0015979; GO:0016021; GO:0030145
Q85FY5	RR14_CYAM1	rps14	rps14				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FY1	PSBZ_CYAM1	psbZ	psbZ				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]; photosystem II stabilization [GO:0042549]	photosynthesis [GO:0015979]; photosystem II stabilization [GO:0042549]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021; GO:0042549
Q85FR5	RR2_CYAM1	rps2	rps2				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; small ribosomal subunit [GO:0015935]	GO:0003735; GO:0006412; GO:0009507; GO:0015935
Q85FU6	SECY_CYAM1	secY	secY				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]	intracellular protein transmembrane transport [GO:0065002]; protein targeting [GO:0006605]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0006605; GO:0009535; GO:0016021; GO:0065002
Q85FX4	RK20_CYAM1	rpl20	rpl20				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0000027; GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85G47	PSAC_CYAM1	psaC	psaC				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; photosystem I [GO:0009522]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem I [GO:0009773]	photosynthetic electron transport in photosystem I [GO:0009773]	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]	chloroplast thylakoid membrane [GO:0009535]; photosystem I [GO:0009522]	GO:0009055; GO:0009522; GO:0009535; GO:0009773; GO:0046872; GO:0051539
